Dimension,Execution Time
582.000000,9.242606
583.000000,9.281716
584.000000,9.323836
585.000000,9.383156
586.000000,9.406915
587.000000,9.447295
588.000000,9.528245
589.000000,9.567545
590.000000,9.616545
591.000000,9.652485
592.000000,9.673245
593.000000,9.741914
594.000000,9.772174
595.000000,9.827364
596.000000,9.887804
597.000000,9.902604
598.000000,9.935355
599.000000,10.066454
600.000000,10.052514
601.000000,10.081704
602.000000,10.101754
603.000000,10.185893
604.000000,10.310253
605.000000,10.291643
606.000000,10.299663
607.000000,10.386882
608.000000,10.414653
609.000000,10.462543
610.000000,10.522062
611.000000,10.567192
612.000000,10.619072
613.000000,10.670412
614.000000,10.700512
615.000000,10.752042
616.000000,10.864842
617.000000,10.863561
618.000000,10.864211
619.000000,10.989121
620.000000,10.975042
621.000000,11.065782
622.000000,11.085371
623.000000,11.169401
624.000000,11.641740
625.000000,11.626000
626.000000,11.289941
627.000000,11.373480
628.000000,11.399720
629.000000,11.453180
630.000000,11.490010
631.000000,11.577179
632.000000,11.614430
633.000000,11.706730
634.000000,11.697110
635.000000,11.772499
636.000000,11.791549
637.000000,11.857089
638.000000,11.885339
639.000000,11.940049
640.000000,11.982149
641.000000,12.059339
642.000000,12.134999
643.000000,12.175458
644.000000,12.230238
645.000000,12.234888
646.000000,12.343307
647.000000,12.410317
648.000000,12.417037
649.000000,12.545767
650.000000,12.584637
651.000000,12.593647
652.000000,12.625327
653.000000,12.764447
654.000000,12.772076
655.000000,12.826247
656.000000,12.882607
657.000000,12.968856
658.000000,12.992017
659.000000,13.031126
660.000000,13.054366
661.000000,13.148076
662.000000,13.234856
663.000000,13.237166
664.000000,13.244885
665.000000,13.411706
666.000000,13.410435
667.000000,13.443515
668.000000,13.525055
669.000000,13.630415
670.000000,13.622854
671.000000,13.683625
672.000000,13.730934
673.000000,14.006654
674.000000,13.843384
675.000000,13.893104
676.000000,13.987993
677.000000,14.031883
678.000000,14.093013
679.000000,14.186124
680.000000,14.226983
681.000000,14.274583
682.000000,14.323982
683.000000,14.337982
684.000000,14.383403
685.000000,14.512352
686.000000,14.570142
687.000000,14.656542
688.000000,14.736552
689.000000,14.766841
690.000000,14.811702
691.000000,14.873921
692.000000,14.948801
693.000000,14.985621
694.000000,15.029331
695.000000,15.082051
696.000000,15.230690
697.000000,15.216870
698.000000,15.301590
699.000000,15.355820
700.000000,15.378019
701.000000,15.494370
